kintype,age,mean_kin_pre_covid,mean_kin_pre_other,mean_kin_post_covid,mean_kin_post_other,sd_kin_pre_covid,sd_kin_pre_other,sd_kin_post_covid,sd_kin_post_other,ci_upper_kin_post_covid,ci_upper_kin_post_other,ci_lower_kin_post_covid,ci_lower_kin_post_other,abs_diff_pre,rel_diff_pre,abs_diff_post,rel_diff_post
daughters,0-14,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA
daughters,15-29,0.11620783639877424,0.11608930672263844,0.11618999781329052,0.11607645416788845,0.004135397142037781,0.005297838855494191,0.004131350530526967,0.005300795973259045,0.12428729606063382,0.1264658233648711,0.10809269956594722,0.10568708497090579,1.1852967613580623e-4,0.0010210214832189353,1.1354364540207273e-4,9.78179823083221e-4
daughters,30-44,0.6824189423206645,0.6813556118170424,0.6823654255888056,0.6813138881868886,0.010027997641894116,0.013138566265949914,0.010038872732025857,0.01312933362628193,0.7020412545889575,0.7070469092354119,0.6626895965886538,0.6555808671383654,0.001063330503622062,0.0015606101794426658,0.001051537401916991,0.001543396399441292
daughters,45-64,0.8721383157913865,0.8712067806074114,0.87205172383946,0.8711183820855191,0.010467895697324087,0.011208530207288129,0.010446915903909584,0.011201761490373566,0.8925273027606414,0.893073431170059,0.8515761449182785,0.8491633330009791,9.315351839750408e-4,0.0010692469396594549,9.333417539408861e-4,0.0010714292949557556
daughters,65+,0.8455956541316723,0.8438283924818568,0.844808277999875,0.8430502517925488,0.010099041693060189,0.009442738294710692,0.010065283340758355,0.00940881053824828,0.8645358708419524,0.8614911815848764,0.8250806851577976,0.8246093220002212,0.0017672616498154436,0.002094337741608335,0.0017580262073262354,0.0020853160337574238
ggmothers,0-14,0.33127648489548334,0.3311065239374651,0.32078383854226455,0.32195898110455123,0.00975046072255863,0.010033876961239271,0.009325019524037035,0.009893636088236525,0.33906054096451,0.34135015151364057,0.3025071361200191,0.3025678106954619,1.6996095801824485e-4,5.133120181296843e-4,-0.0011751425622866796,-0.0036499760256884094
ggmothers,15-29,0.06969291177278465,0.07132665298776232,0.06512982198830061,0.06733386566920266,0.004348684472708431,0.004470826054900722,0.004391999047893156,0.004418309573007429,0.07373798194230541,0.07599359330484576,0.056521662034295816,0.05867413803355955,-0.0016337412149776687,-0.02290505928068675,-0.002204043680902046,-0.03273306320670873
ggmothers,30-44,0.004807246448112479,0.005020205738506169,0.0042280308998974055,0.004461581969179435,0.0012837075160206976,0.0011942685848312852,0.001094854800692224,0.0011006862680174097,0.006373906877554943,0.006618887412771358,0.002082154922239868,0.002304276525587511,-2.129592903936904e-4,-0.04242043085211471,-2.3355106928202914e-4,-0.05234714298546966
ggmothers,45-64,1.5839748341169213e-5,1.2020414621069813e-5,1.1899503282577195e-5,8.998029064318636e-6,3.907878880091928e-5,4.069864656837414e-5,3.528911406219131e-5,3.1900334799188464e-5,8.106489589079812e-5,7.152153636549779e-5,-5.726588932564373e-5,-5.352547823686052e-5,3.8193337200994e-6,0.3177372695118798,2.901474218258559e-6,0.32245663995065893
ggmothers,65+,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA
gmothers,0-14,0.909609852761575,0.9089590427162003,0.9066862875724868,0.906138519580888,0.00476267756150743,0.005300848390664554,0.004755182855016774,0.005401239247426882,0.916006274708222,0.9167247539777289,0.8973663004367516,0.8955522851840471,6.508100453747057e-4,7.159949071301608e-4,5.477679915988354e-4,6.045080081709714e-4
