country,kintype,age,month,year,measure,estimate,se
Austria,Grandparents,0-14,3,2020,Baseline,350,17
Austria,Grandparents,0-14,3,2020,Excess,33,23
Austria,Grandparents,0-14,4,2020,Baseline,330,16
Austria,Grandparents,0-14,4,2020,Excess,37,24
Austria,Grandparents,0-14,5,2020,Baseline,324,15
Austria,Grandparents,0-14,5,2020,Excess,-14,22
Austria,Grandparents,0-14,6,2020,Baseline,308,14
Austria,Grandparents,0-14,6,2020,Excess,-11,21
Austria,Grandparents,0-14,7,2020,Baseline,283,15
Austria,Grandparents,0-14,7,2020,Excess,23,22
Austria,Grandparents,0-14,8,2020,Baseline,317,14
Austria,Grandparents,0-14,8,2020,Excess,3,22
Austria,Grandparents,0-14,9,2020,Baseline,336,16
Austria,Grandparents,0-14,9,2020,Excess,13,21
Austria,Grandparents,0-14,10,2020,Baseline,340,15
Austria,Grandparents,0-14,10,2020,Excess,25,21
Austria,Grandparents,0-14,11,2020,Baseline,342,14
Austria,Grandparents,0-14,11,2020,Excess,136,21
Austria,Grandparents,0-14,12,2020,Baseline,379,17
Austria,Grandparents,0-14,12,2020,Excess,129,27
Austria,Grandparents,0-14,1,2021,Baseline,423,15
Austria,Grandparents,0-14,1,2021,Excess,-14,25
Austria,Grandparents,0-14,2,2021,Baseline,396,17
Austria,Grandparents,0-14,2,2021,Excess,-20,25
Austria,Grandparents,0-14,3,2021,Baseline,373,20
Austria,Grandparents,0-14,3,2021,Excess,13,26
Austria,Grandparents,0-14,4,2021,Baseline,379,17
Austria,Grandparents,0-14,4,2021,Excess,11,23
Austria,Grandparents,0-14,5,2021,Baseline,369,16
Austria,Grandparents,0-14,5,2021,Excess,-6,24
Austria,Grandparents,0-14,6,2021,Baseline,331,13
Austria,Grandparents,0-14,6,2021,Excess,18,20
Austria,Grandparents,15-29,3,2020,Baseline,740,24
Austria,Grandparents,15-29,3,2020,Excess,23,34
Austria,Grandparents,15-29,4,2020,Baseline,638,20
Austria,Grandparents,15-29,4,2020,Excess,63,30
Austria,Grandparents,15-29,5,2020,Baseline,610,19
Austria,Grandparents,15-29,5,2020,Excess,-7,27
Austria,Grandparents,15-29,6,2020,Baseline,617,23
Austria,Grandparents,15-29,6,2020,Excess,-22,29
Austria,Grandparents,15-29,7,2020,Baseline,580,19
Austria,Grandparents,15-29,7,2020,Excess,43,29
Austria,Grandparents,15-29,8,2020,Baseline,600,20
Austria,Grandparents,15-29,8,2020,Excess,14,31
Austria,Grandparents,15-29,9,2020,Baseline,607,19
Austria,Grandparents,15-29,9,2020,Excess,39,30
Austria,Grandparents,15-29,10,2020,Baseline,637,24
Austria,Grandparents,15-29,10,2020,Excess,76,34
Austria,Grandparents,15-29,11,2020,Baseline,696,24
Austria,Grandparents,15-29,11,2020,Excess,370,36
Austria,Grandparents,15-29,12,2020,Baseline,756,21
Austria,Grandparents,15-29,12,2020,Excess,345,34
Austria,Grandparents,15-29,1,2021,Baseline,836,21
Austria,Grandparents,15-29,1,2021,Excess,51,31
Austria,Grandparents,15-29,2,2021,Baseline,786,24
Austria,Grandparents,15-29,2,2021,Excess,-55,32
Austria,Grandparents,15-29,3,2021,Baseline,778,24
Austria,Grandparents,15-29,3,2021,Excess,-65,33
Austria,Grandparents,15-29,4,2021,Baseline,669,21
Austria,Grandparents,15-29,4,2021,Excess,62,28
Austria,Grandparents,15-29,5,2021,Baseline,664,23
Austria,Grandparents,15-29,5,2021,Excess,5,27
Austria,Grandparents,15-29,6,2021,Baseline,619,20
Austria,Grandparents,15-29,6,2021,Excess,44,27
Austria,Grandparents,30-44,3,2020,Baseline,740,22
Austria,Grandparents,30-44,3,2020,Excess,21,32
Austria,Grandparents,30-44,4,2020,Baseline,617,19
Austria,Grandparents,30-44,4,2020,Excess,93,28
Austria,Grandparents,30-44,5,2020,Baseline,596,20
