country,kintype,age,sex,month,year,measure,estimate,se
Austria,Grandparents,0-14,Female,3,2020,Baseline,350,21
Austria,Grandparents,0-14,Female,3,2020,Excess,44,27
Austria,Grandparents,0-14,Female,4,2020,Baseline,326,19
Austria,Grandparents,0-14,Female,4,2020,Excess,34,25
Austria,Grandparents,0-14,Female,5,2020,Baseline,329,18
Austria,Grandparents,0-14,Female,5,2020,Excess,-28,25
Austria,Grandparents,0-14,Female,6,2020,Baseline,326,19
Austria,Grandparents,0-14,Female,6,2020,Excess,-20,27
Austria,Grandparents,0-14,Female,7,2020,Baseline,280,17
Austria,Grandparents,0-14,Female,7,2020,Excess,1,24
Austria,Grandparents,0-14,Female,8,2020,Baseline,320,16
Austria,Grandparents,0-14,Female,8,2020,Excess,-1,22
Austria,Grandparents,0-14,Female,9,2020,Baseline,349,19
Austria,Grandparents,0-14,Female,9,2020,Excess,7,26
Austria,Grandparents,0-14,Female,10,2020,Baseline,356,17
Austria,Grandparents,0-14,Female,10,2020,Excess,26,28
Austria,Grandparents,0-14,Female,11,2020,Baseline,345,15
Austria,Grandparents,0-14,Female,11,2020,Excess,124,25
Austria,Grandparents,0-14,Female,12,2020,Baseline,382,18
Austria,Grandparents,0-14,Female,12,2020,Excess,131,29
Austria,Grandparents,0-14,Female,1,2021,Baseline,429,17
Austria,Grandparents,0-14,Female,1,2021,Excess,-37,28
Austria,Grandparents,0-14,Female,2,2021,Baseline,417,22
Austria,Grandparents,0-14,Female,2,2021,Excess,-43,30
Austria,Grandparents,0-14,Female,3,2021,Baseline,398,24
Austria,Grandparents,0-14,Female,3,2021,Excess,-14,31
Austria,Grandparents,0-14,Female,4,2021,Baseline,383,20
Austria,Grandparents,0-14,Female,4,2021,Excess,-10,26
Austria,Grandparents,0-14,Female,5,2021,Baseline,373,21
Austria,Grandparents,0-14,Female,5,2021,Excess,-11,29
Austria,Grandparents,0-14,Female,6,2021,Baseline,357,16
Austria,Grandparents,0-14,Female,6,2021,Excess,-3,24
Austria,Grandparents,0-14,Male,3,2020,Baseline,349,19
Austria,Grandparents,0-14,Male,3,2020,Excess,21,28
Austria,Grandparents,0-14,Male,4,2020,Baseline,334,18
Austria,Grandparents,0-14,Male,4,2020,Excess,39,29
Austria,Grandparents,0-14,Male,5,2020,Baseline,321,17
Austria,Grandparents,0-14,Male,5,2020,Excess,-0,25
Austria,Grandparents,0-14,Male,6,2020,Baseline,292,15
Austria,Grandparents,0-14,Male,6,2020,Excess,-2,23
Austria,Grandparents,0-14,Male,7,2020,Baseline,287,19
Austria,Grandparents,0-14,Male,7,2020,Excess,43,27
Austria,Grandparents,0-14,Male,8,2020,Baseline,314,18
Austria,Grandparents,0-14,Male,8,2020,Excess,6,29
Austria,Grandparents,0-14,Male,9,2020,Baseline,324,17
Austria,Grandparents,0-14,Male,9,2020,Excess,19,23
Austria,Grandparents,0-14,Male,10,2020,Baseline,324,17
Austria,Grandparents,0-14,Male,10,2020,Excess,25,24
Austria,Grandparents,0-14,Male,11,2020,Baseline,341,17
Austria,Grandparents,0-14,Male,11,2020,Excess,147,26
Austria,Grandparents,0-14,Male,12,2020,Baseline,377,21
Austria,Grandparents,0-14,Male,12,2020,Excess,127,34
Austria,Grandparents,0-14,Male,1,2021,Baseline,417,19
Austria,Grandparents,0-14,Male,1,2021,Excess,9,30
Austria,Grandparents,0-14,Male,2,2021,Baseline,375,18
Austria,Grandparents,0-14,Male,2,2021,Excess,2,28
Austria,Grandparents,0-14,Male,3,2021,Baseline,349,20
Austria,Grandparents,0-14,Male,3,2021,Excess,39,28
Austria,Grandparents,0-14,Male,4,2021,Baseline,376,18
Austria,Grandparents,0-14,Male,4,2021,Excess,31,27
Austria,Grandparents,0-14,Male,5,2021,Baseline,365,17
Austria,Grandparents,0-14,Male,5,2021,Excess,-2,24
Austria,Grandparents,0-14,Male,6,2021,Baseline,305,15
Austria,Grandparents,0-14,Male,6,2021,Excess,38,23
Austria,Grandparents,15-29,Female,3,2020,Baseline,736,28
Austria,Grandparents,15-29,Female,3,2020,Excess,25,38
Austria,Grandparents,15-29,Female,4,2020,Baseline,633,23
Austria,Grandparents,15-29,Female,4,2020,Excess,61,36
Austria,Grandparents,15-29,Female,5,2020,Baseline,604,23
Austria,Grandparents,15-29,Female,5,2020,Excess,-9,31
Austria,Grandparents,15-29,Female,6,2020,Baseline,609,26
Austria,Grandparents,15-29,Female,6,2020,Excess,-9,34
Austria,Grandparents,15-29,Female,7,2020,Baseline,593,22
Austria,Grandparents,15-29,Female,7,2020,Excess,29,30
Austria,Grandparents,15-29,Female,8,2020,Baseline,615,25
Austria,Grandparents,15-29,Female,8,2020,Excess,3,35
Austria,Grandparents,15-29,Female,9,2020,Baseline,601,21
Austria,Grandparents,15-29,Female,9,2020,Excess,58,33
Austria,Grandparents,15-29,Female,10,2020,Baseline,647,28
Austria,Grandparents,15-29,Female,10,2020,Excess,65,38
Austria,Grandparents,15-29,Female,11,2020,Baseline,680,27
Austria,Grandparents,15-29,Female,11,2020,Excess,389,39
Austria,Grandparents,15-29,Female,12,2020,Baseline,766,23
Austria,Grandparents,15-29,Female,12,2020,Excess,357,39
Austria,Grandparents,15-29,Female,1,2021,Baseline,831,26
Austria,Grandparents,15-29,Female,1,2021,Excess,51,36
Austria,Grandparents,15-29,Female,2,2021,Baseline,804,29
